mlang,dlang,parse_success_rate,avg_edit_distance
base,eng,0.0,
base,es,0.0,
base,he.jap.hi_qonly,0.0,
base,hi_qonly,0.0,
eng,eng,0.6590351594439902,15.115384615384615
eng,es,0.5433360588716272,15.45372460496614
eng,he.jap.hi_qonly,0.22444807849550286,15.892531876138433
eng,hi_qonly,0.21504497138184792,15.714828897338403
he.jap.hi_qonly,eng,0.3630417007358953,15.66891891891892
he.jap.hi_qonly,es,0.39697465249386754,15.390319258496396
he.jap.hi_qonly,he.jap.hi_qonly,0.27718724448078497,16.8141592920354
he.jap.hi_qonly,hi_qonly,0.2841373671300082,16.876258992805756
hi_qonly,eng,0.2019623875715454,16.967611336032387
hi_qonly,es,0.2698282910874898,16.23030303030303
hi_qonly,he.jap.hi_qonly,0.14840556009811937,19.223140495867767
hi_qonly,hi_qonly,0.14309076042518398,19.465714285714284
